loan_amnt,term,int_rate,grade,emp_title,home_ownership,annual_inc,verification_status,dti,open_acc,revol_util,fico_range_high,loan_status,text
20750.0, 60 months,12.29,C,Director of Investment Operations,MORTGAGE,125000.0,Verified,26.35,17.0,57.8,714.0,0,debt_consolidation - Debt consolidation
5000.0, 36 months,11.48,B,Direct Care,RENT,25000.0,Verified,27.17,7.0,51.9,669.0,0,credit_card - Credit card refinancing
1050.0, 36 months,13.49,C,,RENT,23000.0,Source Verified,16.08,8.0,75.0,679.0,0,debt_consolidation - Debt consolidation
20800.0, 60 months,21.18,E,Customer Service Rep,RENT,65000.0,Verified,34.2,8.0,102.1,664.0,0,debt_consolidation - Unknown
9000.0, 36 months,12.29,C,captain,OWN,80000.0,Source Verified,4.71,8.0,48.1,684.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,10.64,B,,MORTGAGE,78000.0,Verified,9.83,11.0,45.3,704.0,0,debt_consolidation - Debt consolidation
15400.0, 60 months,17.27,D,Food Service,RENT,35000.0,Not Verified,17.06,13.0,47.5,694.0,0,debt_consolidation - Unknown
9600.0, 36 months,13.66,C,COOK,RENT,38000.0,Source Verified,27.48,8.0,43.3,674.0,0,debt_consolidation - Debt consolidation
16200.0, 60 months,17.86,D,loader,RENT,45000.0,Source Verified,36.61,16.0,34.7,679.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,11.49,B,foreman,MORTGAGE,70000.0,Verified,21.79,16.0,49.9,684.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,18.25,E,meat manager,RENT,45000.0,Source Verified,36.85,7.0,60.3,669.0,0,debt_consolidation - Debt consolidation
21125.0, 36 months,18.99,D,General Manager,RENT,65000.0,Not Verified,15.39,8.0,29.3,694.0,0,debt_consolidation - Debt consolidation
16000.0, 60 months,15.61,D,Office Manager,RENT,41000.0,Source Verified,17.86,10.0,38.8,699.0,0,debt_consolidation - Debt consolidation
12000.0, 60 months,21.49,D,Permits Specialist ,MORTGAGE,54000.0,Source Verified,21.09,6.0,72.4,694.0,0,other - Other
16500.0, 36 months,15.61,D,,RENT,87000.0,Not Verified,19.88,20.0,38.6,684.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,10.99,B,service advisor,MORTGAGE,46000.0,Not Verified,20.17,7.0,68.9,719.0,0,home_improvement - Home improvement
12000.0, 36 months,13.18,C,Management,MORTGAGE,90000.0,Verified,15.43,15.0,48.2,664.0,0,debt_consolidation - Debt consolidation
23500.0, 60 months,11.99,B,Intelligence Analyst,MORTGAGE,97000.0,Source Verified,19.71,15.0,92.5,679.0,0,debt_consolidation - Debt consolidation
11000.0, 36 months,9.16,B,Tax Project Specialist,RENT,47000.0,Not Verified,17.21,7.0,43.2,724.0,0,medical - Medical expenses
35000.0, 60 months,18.99,D,SUPERVISOR,MORTGAGE,105000.0,Verified,8.14,17.0,18.1,664.0,0,home_improvement - Home improvement
18400.0, 60 months,21.99,F,Quality Assurance,OWN,40000.0,Source Verified,26.55,15.0,63.2,699.0,0,home_improvement - Home improvement
12000.0, 36 months,14.46,C,Network engineer,RENT,65000.0,Source Verified,15.2,27.0,22.3,674.0,0,debt_consolidation - Debt consolidation
6025.0, 36 months,13.49,C,Maintnance,RENT,40000.0,Source Verified,14.49,4.0,27.6,669.0,0,other - Other
30000.0, 60 months,21.48,E,ct/xray tech,RENT,100000.0,Verified,29.22,17.0,61.5,684.0,0,debt_consolidation - Debt consolidation
35000.0, 36 months,13.99,C,Senior Project Manager,RENT,126000.0,Verified,25.29,8.0,58.9,679.0,0,debt_consolidation - Debt consolidation
30000.0, 36 months,9.49,B,teacher,MORTGAGE,63000.0,Verified,27.92,16.0,25.1,824.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,24.49,E,,OWN,40000.0,Not Verified,33.54,6.0,40.6,714.0,0,debt_consolidation - Debt consolidation
24000.0, 60 months,9.49,B,Court officer,MORTGAGE,81572.0,Not Verified,23.33,22.0,17.3,799.0,0,debt_consolidation - Debt consolidation
10375.0, 60 months,12.69,C,Warehouse Associate,MORTGAGE,20800.0,Source Verified,14.6,6.0,40.2,729.0,0,credit_card - Credit card refinancing
21000.0, 60 months,9.17,B,banker,MORTGAGE,75000.0,Not Verified,20.57,17.0,35.8,734.0,0,credit_card - Credit card refinancing
10000.0, 36 months,10.75,B,Social Service Coordinator,MORTGAGE,40000.0,Source Verified,24.0,13.0,69.9,669.0,0,debt_consolidation - Credit card refinancing
5250.0, 36 months,10.75,B,,RENT,30000.0,Source Verified,24.16,4.0,13.8,719.0,0,debt_consolidation - Unknown
3000.0, 36 months,11.49,B,welder 1,RENT,64000.0,Verified,29.65,12.0,44.9,704.0,0,credit_card - Credit card refinancing
12000.0, 36 months,21.49,D,Bartender,RENT,38000.0,Verified,23.18,11.0,39.5,684.0,0,debt_consolidation - Debt consolidation
8000.0, 36 months,12.29,C,Brakeline Assembly,RENT,32000.0,Not Verified,24.94,8.0,44.0,669.0,0,debt_consolidation - Debt consolidation
24000.0, 36 months,10.75,B,Senior Project Manager,MORTGAGE,124000.0,Source Verified,11.42,10.0,76.8,674.0,0,debt_consolidation - Debt consolidation
10000.0, 36 months,5.32,A,Account Executive,MORTGAGE,85000.0,Source Verified,14.32,9.0,65.1,684.0,0,credit_card - Credit card refinancing
18000.0, 36 months,13.99,C,Staff Social Worker ,RENT,57000.0,Verified,34.82,27.0,69.2,674.0,0,credit_card - Credit card refinancing
10000.0, 36 months,7.89,A,Nuclear Med tech,MORTGAGE,68000.0,Source Verified,19.66,10.0,63.7,704.0,0,debt_consolidation - Debt consolidation
24650.0, 60 months,17.86,D,Office Manager ,RENT,57000.0,Source Verified,39.41,16.0,86.3,709.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,14.49,C,Analyst,MORTGAGE,150000.0,Source Verified,15.72,13.0,23.3,734.0,0,home_improvement - Home improvement
28000.0, 60 months,22.45,E,Claims Specialist,MORTGAGE,133000.0,Source Verified,19.76,37.0,53.2,664.0,0,debt_consolidation - Debt consolidation
35000.0, 60 months,24.99,E,President ,MORTGAGE,87000.0,Verified,25.74,15.0,36.3,684.0,0,debt_consolidation - Debt consolidation
14000.0, 60 months,19.99,D,supervisor,OWN,69000.0,Verified,22.33,13.0,22.8,704.0,0,debt_consolidation - Debt consolidation
9600.0, 36 months,17.99,D,Teacher,OWN,24000.0,Source Verified,24.0,18.0,18.3,734.0,0,debt_consolidation - Debt consolidation
10000.0, 36 months,11.47,B,Senior Grants Specialist,RENT,56375.0,Not Verified,35.19,13.0,35.9,719.0,0,debt_consolidation - Debt consolidation
31200.0, 60 months,29.49,F,truck driver,RENT,65000.0,Verified,10.65,7.0,34.6,684.0,0,major_purchase - Major purchase
19350.0, 60 months,19.19,E,Closing Coordinator,MORTGAGE,44000.0,Source Verified,15.74,6.0,32.7,694.0,0,debt_consolidation - Debt consolidation
7500.0, 36 months,18.99,D,Paralegal,RENT,67200.0,Source Verified,20.63,22.0,51.2,664.0,0,other - Other
6000.0, 36 months,14.65,C,Call center agent,OWN,55000.0,Verified,29.89,9.0,77.6,684.0,0,credit_card - Credit card refinancing
35000.0, 36 months,12.99,C,Attorney,OWN,120000.0,Source Verified,9.11,11.0,3.9,754.0,0,debt_consolidation - Debt consolidation
8000.0, 36 months,11.47,B,Area Manager,MORTGAGE,52000.0,Not Verified,11.77,8.0,46.5,694.0,0,debt_consolidation - Debt consolidation
7000.0, 36 months,13.66,C,Photo director,RENT,157000.0,Source Verified,10.87,6.0,95.1,689.0,0,moving - Moving and relocation
8000.0, 36 months,12.69,C,Sales Supervisoer,RENT,61000.0,Source Verified,14.08,10.0,68.8,674.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,10.99,B,OFFICE MANAGER,RENT,60000.0,Not Verified,23.64,7.0,64.1,699.0,0,debt_consolidation - Debt consolidation
6775.0, 36 months,19.53,D,CLERK,RENT,77000.0,Source Verified,21.53,6.0,64.5,769.0,0,debt_consolidation - Debt consolidation
6000.0, 36 months,9.16,B,Materials Coordinator,RENT,75000.0,Source Verified,21.82,9.0,23.3,664.0,0,debt_consolidation - Debt consolidation
20000.0, 60 months,18.55,E,Lead Production Designer,RENT,78000.0,Source Verified,23.45,13.0,68.2,684.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,13.99,C,mixer,RENT,40000.0,Not Verified,19.68,16.0,36.0,689.0,0,debt_consolidation - Debt consolidation
5000.0, 36 months,11.53,B,Dispatcher,RENT,96000.0,Verified,27.66,14.0,76.6,684.0,0,debt_consolidation - Debt consolidation
18900.0, 60 months,19.99,E,phlebotomist,RENT,45000.0,Source Verified,6.56,11.0,34.3,664.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,17.27,D,Project Manager,RENT,50000.0,Verified,35.74,13.0,81.0,674.0,0,debt_consolidation - Debt consolidation
13200.0, 36 months,15.31,C,sales agent,OWN,65000.0,Source Verified,12.56,7.0,42.8,674.0,0,home_improvement - Home improvement
6000.0, 36 months,10.99,B,Administrative Assistant,OWN,34000.0,Source Verified,15.67,10.0,15.7,669.0,0,home_improvement - Home improvement
20000.0, 36 months,12.69,C,office assistant III,MORTGAGE,60000.0,Not Verified,17.41,10.0,50.6,674.0,0,debt_consolidation - Debt consolidation
4200.0, 36 months,16.99,D,Manager,MORTGAGE,65000.0,Verified,29.36,9.0,94.1,694.0,0,other - Other
7925.0, 36 months,18.99,E,Correctional Officer,RENT,40000.0,Source Verified,14.49,10.0,46.5,674.0,0,debt_consolidation - Debt consolidation
13000.0, 36 months,21.18,E,Accountant,OWN,47000.0,Not Verified,26.33,17.0,41.7,679.0,0,debt_consolidation - Debt consolidation
10000.0, 60 months,12.39,C,shipping clerk,RENT,49000.0,Verified,3.75,5.0,75.4,679.0,0,credit_card - Credit card refinancing
12000.0, 60 months,16.29,D,Legal Assistant,MORTGAGE,57000.0,Source Verified,25.43,15.0,56.3,719.0,0,debt_consolidation - Debt consolidation
27000.0, 36 months,17.86,D,Administrator,MORTGAGE,81000.0,Verified,13.72,18.0,74.9,679.0,0,debt_consolidation - Debt consolidation
29800.0, 60 months,20.99,E,Supervisor,MORTGAGE,65000.0,Source Verified,26.85,9.0,67.9,684.0,0,debt_consolidation - Debt consolidation
3075.0, 36 months,21.49,D,stocker,RENT,35000.0,Source Verified,15.78,11.0,16.4,699.0,0,other - Other
15000.0, 36 months,6.97,A,Driver,RENT,66000.0,Not Verified,11.27,13.0,25.8,669.0,0,small_business - Business
1000.0, 36 months,12.79,C,Enrollment Service Advisor ,RENT,54080.0,Source Verified,20.11,14.0,37.0,684.0,0,medical - Medical expenses
20000.0, 60 months,16.99,D,Collection/Loss Mitigation,RENT,45000.0,Source Verified,37.2,15.0,73.0,689.0,0,debt_consolidation - Debt consolidation
15750.0, 36 months,21.18,E,Administrative Assistant/IT,RENT,23000.0,Verified,41.08,6.0,84.4,704.0,0,credit_card - Credit card refinancing
12000.0, 36 months,11.53,B,shipping n receiving manager,MORTGAGE,53000.0,Verified,29.55,8.0,73.6,679.0,0,debt_consolidation - Debt consolidation
15000.0, 36 months,11.49,B,Driver,RENT,48000.0,Verified,6.55,5.0,59.1,674.0,0,other - Other
21000.0, 60 months,11.47,B,VP of Underwriting,MORTGAGE,220000.0,Source Verified,9.79,6.0,63.4,714.0,0,debt_consolidation - Debt consolidation
3425.0, 36 months,21.99,F,Specialty Pharmacy Technician,RENT,35500.0,Verified,18.19,5.0,33.9,699.0,0,medical - Medical expenses
3400.0, 36 months,19.52,E,Manager,RENT,51500.0,Source Verified,1.26,9.0,8.1,689.0,0,small_business - Business
24000.0, 60 months,17.57,D,Software programmer,MORTGAGE,75000.0,Source Verified,23.44,9.0,92.4,689.0,0,debt_consolidation - Debt consolidation
15950.0, 36 months,14.46,C,Business Control Supervisor,MORTGAGE,46792.0,Source Verified,29.52,9.0,62.8,709.0,0,debt_consolidation - Debt consolidation
22100.0, 36 months,12.99,C,CNA,RENT,55456.0,Source Verified,29.63,12.0,52.4,664.0,0,debt_consolidation - Debt consolidation
30000.0, 60 months,14.65,C,MRI Technologist,MORTGAGE,78000.0,Verified,30.65,25.0,86.3,684.0,0,credit_card - Credit card refinancing
11950.0, 60 months,24.5,F,helper,OWN,50000.0,Verified,32.17,10.0,54.0,669.0,0,other - Other
9600.0, 36 months,5.32,A,HS Principal,MORTGAGE,100000.0,Source Verified,28.73,23.0,41.3,714.0,0,debt_consolidation - Debt consolidation
15000.0, 60 months,8.18,B,Govt Information Specialist,MORTGAGE,90000.0,Not Verified,15.76,15.0,38.9,699.0,0,debt_consolidation - Debt consolidation
2000.0, 36 months,15.99,C,Program Assistant,RENT,45000.0,Source Verified,3.65,4.0,15.2,669.0,0,home_improvement - Home improvement
22000.0, 36 months,7.91,A,realtor,MORTGAGE,60000.0,Not Verified,18.24,18.0,40.1,694.0,0,debt_consolidation - Debt consolidation
21000.0, 60 months,12.29,C,shift engineer,MORTGAGE,72000.0,Verified,25.88,9.0,57.7,704.0,0,debt_consolidation - Debt consolidation
4800.0, 36 months,15.31,C,Insurance Agent,RENT,83000.0,Source Verified,10.31,7.0,37.7,679.0,0,debt_consolidation - Debt consolidation
11575.0, 36 months,19.99,D,Wherehouse,OWN,42000.0,Source Verified,12.91,10.0,19.4,684.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,9.76,B,Provider Services Liasion ,MORTGAGE,82000.0,Source Verified,30.54,12.0,100.7,679.0,0,debt_consolidation - Debt consolidation
28775.0, 36 months,9.99,B,,MORTGAGE,60000.0,Verified,32.78,16.0,52.8,729.0,0,debt_consolidation - Debt consolidation
4800.0, 36 months,14.49,C,RN casse manager,OWN,65000.0,Verified,30.87,16.0,78.1,684.0,0,credit_card - Credit card refinancing
15000.0, 60 months,17.99,D,Site Coordinator,MORTGAGE,50000.0,Source Verified,27.17,26.0,22.0,724.0,0,debt_consolidation - Debt consolidation
20000.0, 36 months,10.99,B,crew chief,RENT,90000.0,Verified,29.82,29.0,35.3,699.0,0,debt_consolidation - Debt consolidation
15000.0, 36 months,10.99,B,certified nurse assistant,RENT,47000.0,Not Verified,24.16,11.0,63.3,669.0,0,debt_consolidation - Debt consolidation
35000.0, 36 months,12.69,C,Real Estate Sales,MORTGAGE,75000.0,Verified,31.9,12.0,47.7,714.0,0,debt_consolidation - Debt consolidation
7500.0, 36 months,13.99,C,Office Clerk II,RENT,29000.0,Not Verified,20.12,6.0,53.0,689.0,0,other - Other
16000.0, 36 months,17.86,D,Paramedic,RENT,53000.0,Verified,23.8,11.0,80.8,674.0,0,debt_consolidation - Debt consolidation
3600.0, 36 months,12.69,C,,RENT,29600.0,Source Verified,24.7,9.0,43.7,699.0,0,credit_card - Credit card refinancing
5450.0, 36 months,6.92,A,Registered Nurse,OWN,75000.0,Source Verified,5.78,16.0,17.2,709.0,0,debt_consolidation - Debt consolidation
7550.0, 36 months,23.99,E,Caregiver,OWN,21000.0,Source Verified,27.14,7.0,87.8,679.0,0,credit_card - Credit card refinancing
15000.0, 36 months,10.99,B,,MORTGAGE,37000.0,Verified,16.02,6.0,67.2,694.0,0,debt_consolidation - Debt consolidation
23975.0, 60 months,18.55,E,Network Engineer,MORTGAGE,93000.0,Source Verified,9.06,12.0,36.5,699.0,0,debt_consolidation - Debt consolidation
12600.0, 60 months,13.99,C,Manager,MORTGAGE,65000.0,Not Verified,18.28,15.0,42.9,684.0,0,debt_consolidation - Debt consolidation
7500.0, 36 months,16.29,D,Labor ,MORTGAGE,50000.0,Not Verified,28.2,10.0,100.3,689.0,0,debt_consolidation - Debt consolidation
13000.0, 36 months,5.32,A,,RENT,70000.0,Not Verified,15.73,19.0,28.4,734.0,0,credit_card - Credit card refinancing
21000.0, 60 months,15.41,D,branch manager,OWN,49362.0,Source Verified,32.87,17.0,10.9,719.0,0,debt_consolidation - Debt consolidation
12375.0, 60 months,18.25,E,sevice manager,RENT,45000.0,Source Verified,32.24,9.0,74.4,669.0,0,debt_consolidation - Debt consolidation
5400.0, 36 months,10.99,B,Head of Operations,RENT,68000.0,Source Verified,32.63,13.0,44.6,679.0,0,debt_consolidation - Debt consolidation
7000.0, 36 months,8.18,B,overnite supervisor,RENT,86000.0,Source Verified,5.97,7.0,39.4,669.0,0,debt_consolidation - Debt consolidation
20000.0, 60 months,11.99,C,Program Manager,RENT,56000.0,Source Verified,18.2,9.0,26.6,674.0,0,debt_consolidation - Debt consolidation
35000.0, 60 months,17.57,D,,MORTGAGE,102000.0,Verified,31.44,15.0,63.8,719.0,0,debt_consolidation - Debt consolidation
16000.0, 60 months,12.29,C,NVH Engineering Supervisor,MORTGAGE,110000.0,Not Verified,13.88,22.0,76.1,674.0,0,credit_card - Credit card refinancing
12000.0, 60 months,8.99,B,Agency Director,OWN,100000.0,Not Verified,19.2,19.0,38.0,699.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,16.55,D,Teacher,RENT,39500.0,Verified,29.9,13.0,24.4,689.0,0,debt_consolidation - Debt consolidation
22000.0, 36 months,11.53,B,ower,MORTGAGE,85000.0,Source Verified,11.24,9.0,45.1,704.0,0,home_improvement - Home improvement
35000.0, 36 months,17.57,D,Information Technology Director,MORTGAGE,129999.0,Source Verified,27.4,39.0,46.6,669.0,0,debt_consolidation - Debt consolidation
7900.0, 36 months,5.32,A,RN,MORTGAGE,55000.0,Not Verified,20.73,15.0,77.2,729.0,0,credit_card - Credit card refinancing
23275.0, 36 months,15.61,D,,MORTGAGE,80000.0,Verified,20.94,18.0,66.2,674.0,0,debt_consolidation - Debt consolidation
18000.0, 36 months,12.29,C,Equity Trader,RENT,85000.0,Source Verified,15.43,12.0,62.1,669.0,0,debt_consolidation - Debt consolidation
20000.0, 60 months,11.99,C,Sr. Project Manager ,RENT,175000.0,Not Verified,18.67,12.0,35.5,749.0,0,credit_card - Debt consolidation
4200.0, 36 months,18.99,D,licensed sales agent,MORTGAGE,60000.0,Verified,23.52,18.0,67.5,669.0,0,home_improvement - Home improvement
20000.0, 36 months,7.26,A,Senior Training Manager,OWN,104000.0,Not Verified,14.66,13.0,33.0,709.0,0,debt_consolidation - Debt consolidation
28000.0, 60 months,10.49,B,System Architect,MORTGAGE,200000.0,Source Verified,11.56,13.0,63.4,709.0,0,debt_consolidation - Debt consolidation
19200.0, 60 months,11.53,B,Engineer,MORTGAGE,78000.0,Source Verified,26.19,20.0,54.9,684.0,0,debt_consolidation - Debt consolidation
25000.0, 36 months,13.33,C,Pipeline welder,MORTGAGE,142000.0,Source Verified,19.34,18.0,49.7,679.0,0,debt_consolidation - Debt consolidation
15000.0, 36 months,12.79,C,Office Manger,RENT,50000.0,Not Verified,27.03,17.0,37.6,724.0,0,debt_consolidation - Debt consolidation
11200.0, 36 months,12.69,C,Accountant/HR Manager,RENT,72500.0,Source Verified,17.88,15.0,42.6,669.0,0,other - Other
15000.0, 36 months,10.49,B,,MORTGAGE,70000.0,Source Verified,13.99,10.0,74.0,684.0,0,debt_consolidation - Debt consolidation
15000.0, 36 months,12.29,C,Activity Director,RENT,36000.0,Verified,23.73,9.0,71.1,674.0,0,debt_consolidation - Debt consolidation
22050.0, 36 months,7.89,A,Manager,OWN,104212.0,Source Verified,21.27,24.0,20.8,734.0,0,other - Other
3000.0, 36 months,15.61,D,Surgical Technologist,RENT,25000.0,Not Verified,37.59,12.0,64.2,679.0,0,other - Other
15000.0, 36 months,16.55,D,system tech,OWN,72000.0,Source Verified,25.95,9.0,81.7,674.0,0,debt_consolidation - Debt consolidation
24175.0, 60 months,23.13,F,Police Officer,RENT,72000.0,Source Verified,10.49,14.0,68.0,674.0,0,credit_card - Credit card refinancing
31000.0, 60 months,17.57,D,Banker,MORTGAGE,62000.0,Source Verified,19.26,14.0,70.7,694.0,0,credit_card - Credit card refinancing
10000.0, 36 months,11.49,B,Manager,RENT,50000.0,Source Verified,8.52,17.0,23.9,759.0,0,debt_consolidation - Debt consolidation
16000.0, 60 months,7.89,A,Owner,MORTGAGE,140000.0,Source Verified,20.56,10.0,52.6,699.0,0,credit_card - Credit card refinancing
15000.0, 36 months,13.33,C,Facilities Specialist,MORTGAGE,65000.0,Source Verified,7.14,8.0,75.0,694.0,0,debt_consolidation - Debt consolidation
25800.0, 36 months,19.52,E,Administrator,MORTGAGE,81255.0,Source Verified,18.12,6.0,79.5,679.0,0,home_improvement - Home improvement
15750.0, 60 months,19.99,E,"receiving, quality control",RENT,33697.0,Source Verified,32.15,37.0,33.4,664.0,0,debt_consolidation - Debt consolidation
5000.0, 36 months,18.99,D,Senior Civil Engineering Technician,RENT,75000.0,Source Verified,30.06,6.0,81.5,689.0,0,debt_consolidation - Debt consolidation
14400.0, 60 months,13.33,C,Sales,MORTGAGE,45000.0,Not Verified,20.29,13.0,67.5,679.0,0,credit_card - Credit card refinancing
35000.0, 36 months,16.99,D,conductor,MORTGAGE,125000.0,Verified,24.62,13.0,88.5,689.0,0,debt_consolidation - Debt consolidation
22700.0, 60 months,17.57,D,Quality Manager,RENT,105000.0,Source Verified,12.88,16.0,74.8,674.0,0,debt_consolidation - Debt consolidation
5000.0, 36 months,14.49,C,delivery driver,MORTGAGE,60000.0,Source Verified,32.84,16.0,19.5,664.0,0,debt_consolidation - Debt consolidation
16000.0, 60 months,13.67,C,Unit Clerk,MORTGAGE,52000.0,Source Verified,20.31,13.0,74.2,684.0,0,debt_consolidation - Unknown
17000.0, 36 months,12.39,C,CSR,RENT,40000.0,Source Verified,36.69,12.0,44.4,679.0,0,debt_consolidation - Debt consolidation
21000.0, 60 months,11.47,B,Surgery Scheduler/Physician Office Liaso,OWN,42000.0,Not Verified,26.71,22.0,16.0,754.0,0,home_improvement - Home improvement
11200.0, 60 months,14.49,C,Asset Protection Agent,RENT,30000.0,Not Verified,28.08,11.0,35.3,684.0,0,debt_consolidation - Debt consolidation
24000.0, 60 months,20.75,E,Multiple Inspector,RENT,48000.0,Source Verified,21.31,24.0,57.7,664.0,0,debt_consolidation - Debt consolidation
9000.0, 36 months,10.75,B,Operator,MORTGAGE,120000.0,Not Verified,17.68,14.0,19.7,724.0,0,debt_consolidation - Debt consolidation
12250.0, 36 months,14.85,C,RDA,RENT,26679.38,Verified,34.1,14.0,41.3,714.0,0,debt_consolidation - Debt consolidation
13425.0, 60 months,25.44,F,Department head,MORTGAGE,32000.0,Source Verified,23.26,5.0,59.3,674.0,0,debt_consolidation - Debt consolidation
12000.0, 36 months,10.99,B,,OWN,60000.0,Verified,33.48,14.0,57.5,669.0,0,credit_card - Credit card refinancing
11700.0, 60 months,21.48,E,Supervisor Operation Training & Resoures,RENT,59700.0,Verified,24.63,14.0,42.8,679.0,0,debt_consolidation - Debt consolidation
9600.0, 36 months,14.99,C,Driver,MORTGAGE,51200.0,Source Verified,34.27,12.0,39.1,699.0,0,debt_consolidation - Debt consolidation
5500.0, 36 months,14.46,C,ADMIN.,RENT,35000.0,Source Verified,25.03,11.0,47.9,684.0,0,debt_consolidation - Debt consolidation
7725.0, 36 months,13.67,C,executive,RENT,79000.0,Verified,13.23,6.0,4.7,694.0,0,major_purchase - Major purchase
35000.0, 60 months,23.99,F,Executive Editor,RENT,130000.0,Verified,15.52,9.0,61.0,669.0,0,debt_consolidation - Debt consolidation
18900.0, 60 months,28.99,G,NCO,RENT,59095.44,Verified,5.75,4.0,63.4,679.0,0,other - Other
7200.0, 36 months,12.69,C,Claims Representative,MORTGAGE,48900.0,Verified,16.67,15.0,72.4,674.0,0,debt_consolidation - Debt consolidation
5675.0, 36 months,17.57,D,Physical Auditor,MORTGAGE,60000.0,Not Verified,9.44,17.0,70.6,669.0,0,home_improvement - Home improvement
24000.0, 60 months,11.53,B,Owner,MORTGAGE,120000.0,Not Verified,16.92,21.0,54.9,674.0,0,debt_consolidation - Debt consolidation
19200.0, 36 months,11.47,B,rn,RENT,75000.0,Not Verified,25.7,20.0,33.3,709.0,0,debt_consolidation - Debt consolidation
12000.0, 60 months,21.97,E,RN,MORTGAGE,60000.0,Source Verified,30.2,12.0,72.8,684.0,0,debt_consolidation - Debt consolidation
10000.0, 60 months,13.99,C,RN,MORTGAGE,45000.0,Source Verified,11.97,11.0,52.9,689.0,0,debt_consolidation - Debt consolidation
